scene_id,trip_id,rater_status,parent_scene_id,lump_split_type,canonical_desc,canonical_span_start,canonical_span_end,rater_A_refs,rater_B_refs,adjudicator_note
Psilocybe_19_S03_A,Psilocybe_19,only_A,,none,Tendrils of light above ripple with his exhale breath,2703,2850,A03,,A individuated; B did not.
Psilocybe_19_S04_B,Psilocybe_19,only_B,,none,"Sensory perception off scale: running stairs up feels light, down feels heavy, sinking into bed continues; pushes skin like putty",4132,4780,,"B01,B02,B03",B individuated; A codes at trip-level as own-body-distortion.
Psilocybe_19_S05_B,Psilocybe_19,only_B,,none,"If stops moving, de-animates into stone",5117,5200,,"B04,B05",B individuated; A did not.
Psilocybe_19_S06_AB,Psilocybe_19,both,,none,Body feels split into two like shedding a cocoon,5600,5730,A04,B06,Both individuated.
Psilocybe_19_S07_B,Psilocybe_19,only_B,,none,"Tells self he is a feather; becomes very light and blown across room; then becomes tree, mushroom, French Informant, paratrooper, shadow",5810,6080,,"B07,B08,B09,B10",B individuated; A did not.
Psilocybe_19_S08_B,Psilocybe_19,only_B,,none,"Outside feels like afterlife: still, void of life, worn down, no leaves",6301,6460,,"B11,B12",B individuated; A did not.
Psilocybe_19_S09_B,Psilocybe_19,only_B,,none,"Shadow on railing is ball-shaped, mistakes own body for ball-shaped: I am now Humpty Dumpty",6663,6800,,B13,B individuated; A did not.
Psilocybe_19_S10_B,Psilocybe_19,only_B,,none,Every word he says to friend on phone influences his own reality; asking to slow down slows him down,7970,8100,,"B14,B15",B individuated; A did not.
Psilocybe_19_S11_B,Psilocybe_19,only_B,,none,Water from faucet splashes then freezes within seconds; coincides with song slowdown; time stops until track restarts,8912,9060,,B16,B individuated; A did not.
Psilocybe_20_S01_A,Psilocybe_20,only_A,,none,Vision a bit distorted; colors more defined; porch lights brighter,359,500,A01,,A individuated; B did not.
Psilocybe_20_S02_A,Psilocybe_20,only_A,,none,Pronounced tracers from D's rave lights,1193,1300,A02,,A individuated; B did not.
Psilocybe_20_S03_A,Psilocybe_20,only_A,,none,Finger lights stay in his vision for many seconds after he stops moving them,1594,1700,A03,,A individuated; B did not.
Psilocybe_20_S04_AB,Psilocybe_20,both,,none,Ground feels like it bends under his weight and pushes him back up while hopping,2133,2280,A04,"B01,B02",Both individuated.
Psilocybe_20_S05_A,Psilocybe_20,only_A,,none,"World seems to fly by as they run; legs don't exist for moments, floating",2499,2650,"A05,A06",,A individuated; B codes at trip-level.
Psilocybe_20_S06_A,Psilocybe_20,only_A,,none,Empty parking lot appears unusually large,3603,3700,A07,,A individuated; B did not.
Psilocybe_20_S07_AB,Psilocybe_20,both,,none,"Stars appear spacey purple, twinkling like never before",3666,3780,A08,B03,Both individuated.
Psilocybe_20_S08_A,Psilocybe_20,only_A,,none,Electric jolt in mouth whenever mushroom taste felt strongest,4375,4500,A09,,A individuated; B did not.
Psilocybe_20_S09_AB,Psilocybe_20,both,,none,Two trees ~50 feet away moving a lot despite still air; look like two people making out,5008,5200,A10,B04,Both individuated.
Psilocybe_20_S10_A,Psilocybe_20,only_A,,none,Believed he pissed and shat all over his pants; later found perfectly clean,9634,9850,A11,,A individuated; B did not.
Psilocybe_20_S11_AB,Psilocybe_20,both,,none,"Houses they pass grow, shrink, melt, morph",12002,12200,A12,B05,Both individuated.
Psilocybe_20_S12_AB,Psilocybe_20,both,,none,Guitar bending and twisting; fingers growing and shrinking; plays accurately anyway,13574,13800,A13,B06,Both individuated.
Psilocybe_20_S13_AB,Psilocybe_20,both,,none,"Looking in mirror: pupils growing/shrinking freely; nose end grows longer, swells inflated, returns normal",14395,14700,"A14,A15",B07,Both individuated.
Psilocybe_20_S14_A,Psilocybe_20,only_A,,none,Lights fade in/out slowly with 1-minute delay after switch is flipped,14942,15100,A16,,A individuated; B did not.
